IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.16.162.243,4,3,0.25,172.60,0.00,N/A
172.65.139.247,4,3,0.25,172.65,0.00,N/A
104.16.26.218,4,3,0.25,172.71,0.00,N/A
104.16.164.32,4,3,0.25,172.78,0.00,N/A
172.65.198.185,4,3,0.25,172.87,0.00,N/A
172.67.230.14,4,3,0.25,172.89,0.00,N/A
104.18.36.56,4,3,0.25,172.90,0.00,N/A
172.64.72.127,4,3,0.25,172.94,0.00,N/A
104.16.52.145,4,3,0.25,172.94,0.00,N/A
172.65.150.229,4,3,0.25,172.99,0.00,N/A
104.16.96.60,4,3,0.25,173.04,0.00,N/A
172.67.237.214,4,3,0.25,173.11,0.00,N/A
172.65.134.50,4,3,0.25,173.13,0.00,N/A
172.66.147.229,4,3,0.25,173.19,0.00,N/A
172.67.92.110,4,3,0.25,173.20,0.00,N/A
172.66.142.241,4,3,0.25,173.23,0.00,N/A
172.67.118.169,4,3,0.25,173.40,0.00,N/A
172.67.184.237,4,3,0.25,173.43,0.00,N/A
104.19.3.34,4,3,0.25,173.44,0.00,N/A
104.16.50.38,4,3,0.25,173.49,0.00,N/A
172.67.80.227,4,3,0.25,173.56,0.00,N/A
172.64.176.7,4,3,0.25,173.72,0.00,N/A
172.67.97.252,4,3,0.25,173.81,0.00,N/A
104.16.119.249,4,3,0.25,173.85,0.00,N/A
104.17.40.159,4,3,0.25,173.92,0.00,N/A
104.16.208.199,4,3,0.25,173.97,0.00,N/A
172.67.186.237,4,3,0.25,174.01,0.00,N/A
172.65.3.75,4,3,0.25,174.37,0.00,N/A
104.16.207.219,4,3,0.25,174.61,0.00,N/A
104.16.190.147,4,3,0.25,174.64,0.00,N/A
104.18.144.169,4,3,0.25,174.71,0.00,N/A
172.65.91.13,4,3,0.25,174.80,0.00,N/A
104.16.100.124,4,3,0.25,174.89,0.00,N/A
104.16.171.191,4,3,0.25,174.94,0.00,N/A
172.66.141.212,4,3,0.25,175.01,0.00,N/A
